"Matter","Dossier","DocType: Matter"
"Matters","Dossiers","DocType: Matter"
"Case","Affaire","DocType: Case"
"Cases","Affaires","DocType: Case"
"Legal Service","Prestation juridique","DocType: Legal Service"
"Legal Services","Prestations juridiques","DocType: Legal Service"
"Legal Service Entry","Fiche de prestation juridique","DocType: Legal Service Entry"
"Legal Service Rate","Tarif de prestation juridique","DocType: Legal Service Rate"
"Customer Appointment","Rendez-vous client","DocType: Customer Appointment"
"Lawyer Schedule","Planning d'avocat","DocType: Lawyer Schedule"
"Lawyer Schedule Time Slot","Créneau horaire d'avocat","DocType: Lawyer Schedule Time Slot"
"Meeting Room","Salle de réunion","DocType: Meeting Room"
"Meeting Room Schedule","Planning des salles de réunion","DocType: Meeting Room Schedule"
"Book","Ouvrage / Livre","DocType: Book"
"Book Type","Type d'ouvrage","DocType: Book Type"
"Lend Book","Prêt d'ouvrage","DocType: Lend Book"
"Document Outward","Courrier départ","DocType: Document Outward"
"Legal Notice","Mise en demeure / Notification juridique","DocType: Legal Notice"
"Legal Templates","Modèles d'actes juridiques","DocType: Legal Templates"
"Case Stage","Phase de la procédure","DocType: Case Stage"
"Nature of Case","Nature de l'affaire","DocType: Nature of Case"
"Nature of Disposal","Nature de la décision","DocType: Nature of Disposal"
"Appointment Type","Type de rendez-vous","DocType: Appointment Type"
"File Type","Type de dossier","DocType: File Type"
"Matter Type","Type d'affaire","DocType: Matter Type"
"Service Type","Type de service","DocType: Service Type"
"Case Central Settings","Paramètres Case Central","DocType: Case Central Settings"
"Petitioner","Demandeur / Requérant","Field: petitioner"
"Respondent","Défendeur / Intimé","Field: respondent"
"Case Title","Intitulé de l'affaire","Field: case_title"
"Representing","Représentation","Field: representing"
"Representation Details","Détails de représentation","Field: representation_details"
"Court Number and Judge","Chambre et Magistrat","Field: court_number_and_judge"
"Next Hearing Date","Date de prochaine audience","Field: next_hearing_date"
"Hearing Date","Date d'audience","Field: hearing_date"
"Case Status","Statut de l'affaire","Field: status"
"Registration Number","Numéro d'enregistrement","Field: registration_number"
"Filing Number","Numéro de dépôt / Enrôlement","Field: filing_number"
"Filing Year","Année de dépôt","Field: filing_year"
"Date of Filing","Date de dépôt / Assignation","Field: date_of_filing"
"Date of Registration","Date d'enregistrement","Field: date_of_registration"
"Date of Disposal","Date du jugement / Clôture","Field: date_of_disposal"
"Prayer","Prétentions / Chef de demande","Field: prayer"
"Prayer Information","Prétentions et conclusions","Section Break"
"Party Information","Parties à l'instance","Section Break"
"Petitioner Details","Détails du demandeur","Table: petitioner_details"
"Respondent Details","Détails du défendeur","Table: respondent_details"
"Case History Details","Historique des audiences","Section Break"
"Case History","Historique des audiences","Table: case_history"
"Case Orders Details","Ordonnances et jugements","Section Break"
"Case Orders","Ordonnances et jugements","Table: case_orders"
"Final Order Details","Dispositif de la décision définitive","Section Break"
"Final Order","Décision définitive","Table: final_order"
"Document Details","Pièces de procédure","Section Break"
"Exhibits","Pièces et bordereaux","Section Break"
"Witnesses Examined","Témoins entendus","Section Break"
"Purpose of Hearing","Objet de l'audience","Field: purpose_of_hearing"
"Business on Date","Déroulement de l'audience","Field: business_on_date"
"Business Details","Mentions au plumitif","Field: business_details"
"Order Date","Date de l'ordonnance","Field: order_date"
"Order Details","Contenu de l'ordonnance","Field: order_details"
"Rank of Party","Rang de la partie","Field: rank_of_party"
"Party Name","Nom de la partie","Field: party_name"
"Pending","En attente","Status: Pending"
"InProgress","En cours","Status: InProgress"
"Disposed","Clôturé / Jugé","Status: Disposed"
"Appellant","Appelant","Option: Appellant"
"Applicant","Demandeur","Option: Applicant"
"Complainant","Plaignant","Option: Complainant"
"Decree Holder","Créancier saisissant","Option: Decree Holder"
"Plaintiff","Demandeur","Option: Plaintiff"
"Accused","Prévenu / Accusé","Option: Accused"
"Defendant","Défendeur","Option: Defendant"
"Judgement Debtor","Débiteur saisi","Option: Judgement Debtor"
"Hearing Fee","Honoraire d'audience","Item / Service"
"Case Diary","Agenda des audiences","Report"
"Firm Branding & White-Labeling","Image de marque du cabinet","Section Break"
"Custom App Title","Nom personnalisé du logiciel","Field: custom_app_title"
"App Logo","Logo du cabinet","Field: app_logo"
"Watermark Text","Texte du filigrane","Field: watermark_text"
"Hide System Branding","Masquer la marque système","Field: hide_system_branding"
"Allowed CORS Origins","Origines CORS autorisées","Field: allowed_cors_origins"
"Sync Data","Synchroniser les données","Button"
"Task Type with description 'Hearing' not found.","Type de tâche 'Audience' introuvable.","Exception"
"Case Details Successfully Updated","Détails de l'affaire mis à jour avec succès","Alert"
